-0.125 0.93125 -0.158714 0.917089
-0.125 1 -0.15878 0.985933
0 -0.1 0.0372244 -0.0927284
0 -0.03125 0.0373559 -0.0243898
0 0.0375 0.0375438 0.0437224
0 0.10625 0.0378274 0.111353
0 0.175 0.0382491 0.17765
0 0.24375 0.0375383 0.237508
0 0.3125 -0.0161103 0.285658
0 0.38125 -0.0319456 0.364838
0 0.45 -0.0341536 0.436479
0 0.51875 -0.034943 0.506483
0 0.5875 -0.0353407 0.575928
0 0.65625 -0.0355788 0.645119
0 0.725 -0.0357369 0.714173
0 0.79375 -0.0358493 0.783146
0 0.8625 -0.0359334 0.852066
0 0.93125 -0.0359985 0.92095
0 1 -0.0360504 0.989808
0.125 -0.1 0.160895 -0.0894878
0.125 -0.03125 0.160653 -0.0202597
0.125 0.0375 0.160298 0.0491483
0.125 0.10625 0.159737 0.118859
0.125 0.175 0.158733 0.189133
0.125 0.24375 0.156538 0.260622
0.125 0.3125 0.149663 0.335166
0.125 0.38125 0.1184 0.41038
0.125 0.45 0.089941 0.46207
0.125 0.51875 0.0868452 0.522111
0.125 0.5875 0.086597 0.587322
0.125 0.65625 0.0866853 0.654239
0.125 0.725 0.0868108 0.721879
0.125 0.79375 0.0869251 0.789889
0.125 0.8625 0.0870218 0.85811
0.125 0.93125 0.0871025 0.926465
0.125 1 0.0871701 0.994907
0.25 -0.1 0.282235 -0.0839266
0.25 -0.03125 0.280994 -0.0137904
0.25 0.0375 0.279095 0.0568009
0.25 0.10625 0.275969 0.128034
0.25 0.175 0.270419 0.200044
0.25 0.24375 0.260186 0.272261
0.25 0.3125 0.243823 0.341685
0.25 0.38125 0.227528 0.405229
0.25 0.45 0.218326 0.466721
0.25 0.51875 0.214392 0.529826
0.25 0.5875 0.21276 0.594725
0.25 0.65625 0.21206 0.660831
0.25 0.725 0.211757 0.727699
0.25 0.79375 0.211634 0.795057
0.25 0.8625 0.211598 0.862742
0.25 0.93125 0.211604 0.930654
0.25 1 0.211632 0.998729
0.375 -0.1 0.400491 -0.0778834
0.375 -0.03125 0.397314 -0.00718374
0.375 0.0375 0.392581 0.0637893
0.375 0.10625 0.385507 0.134692
0.375 0.175 0.375552 0.204567
0.375 0.24375 0.363746 0.272022
0.375 0.3125 0.353105 0.336793
0.375 0.38125 0.345795 0.400451
0.375 0.45 0.341549 0.464525
0.375 0.51875 0.339235 0.529521
0.375 0.5875 0.337984 0.595377
0.375 0.65625 0.337304 0.661899
0.375 0.725 0.336934 0.728912
0.375 0.79375 0.336737 0.796283
0.375 0.8625 0.33664 0.863918
0.375 0.93125 0.336602 0.931752
0.375 1 0.336598 0.999738
0.5 -0.1 0.515972 -0.0731088
0.5 -0.03125 0.511194 -0.0029643
0.5 0.0375 0.504959 0.0668222
0.5 0.10625 0.49727 0.135745
0.5 0.175 0.488745 0.203271
0.5 0.24375 0.480612 0.269275
0.5 0.3125 0.47401 0.33427
0.5 0.38125 0.469317 0.399033
0.5 0.45 0.466254 0.464114
0.5 0.51875 0.46434 0.529727
0.5 0.5875 0.46317 0.595879
0.5 0.65625 0.462463 0.662498
0.5 0.725 0.462043 0.729497
0.5 0.79375 0.461801 0.796798
0.5 0.8625 0.46167 0.864337
0.5 0.93125 0.461611 0.932065
0.5 1 0.461596 0.999943
0.625 -0.1 0.632419 -0.0709872
0.625 -0.03125 0.627762 -0.00175674
0.625 0.0375 0.622298 0.0669965
0.625 0.10625 0.616209 0.135035
0.625 0.175 0.609913 0.202192
0.625 0.24375 0.603975 0.268495
0.625 0.3125 0.598896 0.334188
0.625 0.38125 0.59492 0.399633
0.625 0.45 0.592018 0.465148
0.625 0.51875 0.590005 0.53093
0.625 0.5875 0.588659 0.59706
0.625 0.65625 0.587783 0.663544
0.625 0.725 0.587231 0.730353
0.625 0.79375 0.586897 0.797443
0.625 0.8625 0.58671 0.864771
0.625 0.93125 0.58662 0.932297
0.625 1 0.586596 0.999987
0.75 -0.1 0.752096 -0.0704743
0.75 -0.03125 0.748358 -0.00170721
0.75 0.0375 0.744148 0.0667245
0.75 0.10625 0.739552 0.134704
0.75 0.175 0.73475 0.202138
0.75 0.24375 0.730003 0.268995
