2 1 0 0 0.333 0 -0.495617 0.000270382 -0.495617 0.000270382 0 0 0 0 
1 1 0 0.016895 0.333 0 -0.45936 0.000445746 -0.45936 0.000445746 0.631375 0 0.311897 0 
1 1 0 0.0251466 0.333 0 -0.441142 0.00057301 -0.441142 0.00057301 0.637384 0 0.334591 0 
1 1 0 0.0332213 0.333 0 -0.422846 0.000737384 -0.422846 0.000737384 0.644851 0 0.357761 0 
1 1 0 0.0410721 0.333 0 -0.404452 0.00095013 -0.404452 0.00095013 0.654158 0 0.381485 0 
1 1 0 0.0486387 0.333 0 -0.385941 0.00122617 -0.385941 0.00122617 0.665824 0 0.405898 0 
1 1 0 0.0558433 0.333 0 -0.367287 0.00158539 -0.367287 0.00158539 0.680581 0 0.431192 0 
1 1 0 0.0625844 0.333 0 -0.348463 0.00205443 -0.348463 0.00205443 0.699519 0 0.457586 0 
1 1 0 0.0687301 0.333 0 -0.329441 0.00266916 -0.329441 0.00266916 0.724329 0 0.485258 0 
1 1 0 0.0741086 0.333 0 -0.310194 0.00347786 -0.310194 0.00347786 0.757706 0 0.514197 0 
1 1 0 0.0784989 0.333 0 -0.290711 0.00454522 -0.290711 0.00454522 0.803909 0 0.544025 0 
1 1 0 0.0816241 0.333 0 -0.271008 0.00595622 -0.271008 0.00595622 0.86936 0 0.573919 0 
1 1 0 0.083158 0.333 0 -0.251153 0.00781786 -0.251153 0.00781786 0.963024 0 0.602862 0 
2 1 0 0.0832566 0.333 0 -0.244914 0.00851446 -0.244914 0.00851446 1 0 0.611614 0 
2 1 0 0.0821931 0.333 0 -0.225118 0.0111579 -0.225118 0.0111579 1.14869 0 0.638231 0 
2 1 0 0.0788774 0.333 0 -0.205687 0.0145377 -0.205687 0.0145377 1.35561 0 0.66287 0 
2 1 0 0.0732928 0.333 0 -0.186949 0.0187448 -0.186949 0.0187448 1.63557 0 0.68572 0 
2 1 0 0.0656706 0.333 0 -0.169171 0.0238297 -0.169171 0.0238297 2.00136 0 0.707126 0 
2 1 0 0.0564244 0.333 0 -0.152477 0.0298159 -0.152477 0.0298159 2.46084 0 0.727536 0 
2 1 0 0.0460392 0.333 0 -0.136844 0.0367272 -0.136844 0.0367272 3.01412 0 0.747478 0 
2 1 0 0.0349928 0.333 0 -0.122152 0.0446096 -0.122152 0.0446096 3.65007 0 0.767547 0 
2 1 0 0.0237366 0.333 0 -0.108241 0.0535407 -0.108241 0.0535407 4.34213 0 0.788414 0 
2 1 0 0.0127132 0.333 0 -0.0949478 0.0636295 -0.0949478 0.0636295 5.04407 0 0.810868 0 
2 1 0 0.00239288 0.333 0 -0.0821375 0.0750045 -0.0821375 0.0750045 5.68795 0 0.835878 0 
2 1 0 -0.00669352 0.333 0 -0.0697224 0.0877839 -0.0697224 0.0877839 6.18796 0 0.864681 0 
2 1 0 -0.0139481 0.333 0 -0.0576885 0.102017 -0.0576885 0.102017 6.45546 0 0.898868 0 
2 1 0 -0.0187681 0.333 0 -0.0461141 0.117599 -0.0461141 0.117599 6.42756 0 0.94047 0 
2 1 0 -0.0206997 0.333 0 -0.0351534 0.134216 -0.0351534 0.134216 6.09825 0 0.992117 0 
2 1 0 -0.0207271 0.333 0 -0.0336975 0.136567 -0.0336975 0.136567 6.0317 0 1.00023 0 
2 1 0 -0.0192236 0.333 0 -0.0236298 0.153782 -0.0236298 0.153782 5.43184 0 1.06804 0 
2 1 0 -0.0149512 0.333 0 -0.0144343 0.171022 -0.0144343 0.171022 4.69039 0 1.15772 0 
2 1 0 -0.00834542 0.333 0 -0.00609257 0.187956 -0.00609257 0.187956 3.87777 0 1.28613 0 
2 1 0 0.000133159 0.333 0 0.00147699 0.204413 0.00147699 0.204413 2.99411 0 1.51126 0 
2 1 0 0.0100857 0.333 24.2815 0.00837818 0.220329 0.00837818 0.220329 1.95149 0.516558 1.95149 -0.516558 
2 1 0 0.0211974 0.333 12.7442 0.0147128 0.235705 0.0147128 0.235705 1.68419 0.904877 1.68419 -0.904877 
2 1 0 0.0332291 0.333 9.82027 0.0205702 0.250568 0.0205702 0.250568 1.45124 1.0801 1.45124 -1.0801 
2 1 0 0.0460006 0.333 8.3601 0.0260251 0.26496 0.0260251 0.26496 1.2504 1.16854 1.2504 -1.16854 
2 1 0 0.0593761 0.333 7.46089 0.0311387 0.278923 0.0311387 0.278923 1.07836 1.20827 1.07836 -1.20827 
2 1 0 0.0732519 0.333 6.84526 0.035961 0.292495 0.035961 0.292495 0.931536 1.21801 0.931536 -1.21801 
2 1 0 0.0875479 0.333 6.39592 0.0405329 0.305713 0.0405329 0.305713 0.806482 1.20862 0.806482 -1.20862 
2 1 0 0.102201 0.333 6.05371 0.0448878 0.31861 0.0448878 0.31861 0.700075 1.18696 0.700075 -1.18696 
2 1 0 0.117162 0.333 5.7852 0.0490536 0.331212 0.0490536 0.331212 0.609571 1.15751 0.609571 -1.15751 
2 1 0 0.13239 0.333 5.56993 0.0530536 0.343545 0.0530536 0.343545 0.532599 1.12331 0.532599 -1.12331 
2 1 0 0.147854 0.333 5.3946 0.0569071 0.355629 0.0569071 0.355629 0.467134 1.08642 0.467134 -1.08642 
2 1 0 0.163525 0.333 5.25017 0.0606309 0.367485 0.0606309 0.367485 0.411456 1.04825 0.411456 -1.04825 
2 1 0 0.179382 0.333 5.13026 0.064239 0.379127 0.064239 0.379127 0.364107 1.00979 0.364107 -1.00979 
2 1 0 0.195406 0.333 5.03024 0.0677437 0.390571 0.0677437 0.390571 0.323858 0.971697 0.323858 -0.971697 
