1 0.726898 
2 0.706525 
3 0.683941 
4 0.659004 
5 0.631477 
6 0.601121 
7 0.56785 
8 0.53189 
9 0.493893 
10 0.454892 
11 0.416083 
12 0.37849 
13 0.342668 
14 0.308536 
15 0.275395 
16 0.242058 
17 0.207084 
18 0.169067 
19 0.126974 
20 0.0804505 
21 0.0299776 
22 -0.0232369 
23 -0.077609 
24 -0.13162 
25 -0.184152 
26 -0.23462 
27 -0.282915 
28 -0.329267 
29 -0.374105 
30 -0.417927 
31 -0.461187 
32 -0.504159 
33 -0.546815 
34 -0.588741 
35 -0.629137 
36 -0.66691 
37 -0.70086 
38 -0.729899 
39 -0.753251 
40 -0.770593 
41 -0.782069 
42 -0.788197 
43 -0.789688 
44 -0.787254 
45 -0.781479 
46 -0.772765 
47 -0.761347 
48 -0.747356 
49 -0.730873 
50 -0.711989 
51 -0.690842 
52 -0.66763 
53 -0.642601 
54 -0.616021 
55 -0.588126 
56 -0.559065 
57 -0.528853 
58 -0.49735 
59 -0.464307 
60 -0.429483 
61 -0.392792 
62 -0.354431 
63 -0.314896 
64 -0.274866 
65 -0.234983 
66 -0.195631 
67 -0.156785 
68 -0.118003 
69 -0.0785552 
70 -0.0376677 
71 0.00519447 
72 0.0501151 
73 0.0967027 
74 0.144283 
75 0.192193 
76 0.239992 
77 0.287504 
78 0.334713 
79 0.381634 
80 0.428199 
81 0.4742 
82 0.519252 
83 0.562779 
84 0.604052 
85 0.642276 
86 0.676725 
87 0.706879 
88 0.732494 
89 0.753591 
90 0.770376 
91 0.783119 
92 0.792068 
93 0.797404 
94 0.799255 
95 0.797732 
96 0.792965 
97 0.785116 
98 0.774378 
99 0.760962 
100 0.745076 
